             x       y       Lnx         yLnx    (Ln x)²        SQREG        SQTOT
130  1969.0411  324.00  7.585302  2457.637832  57.536806  1246.090593  1166.231223
131  1969.1260  324.42  7.585345  2460.837647  57.537460  1236.288374  1137.721516
132  1969.2027  325.63  7.585384  2470.028598  57.538051  1227.466536  1057.558707
133  1969.2877  326.66  7.585427  2477.855644  57.538706  1217.727352   991.628143
134  1969.3699  327.38  7.585469  2483.330816  57.539339  1208.346281   946.800760
135  1969.4548  326.71  7.585512  2478.262636  57.539993  1198.695563   988.481631
136  1969.5370  325.88  7.585554  2471.980262  57.540626  1189.389019  1041.361143
137  1969.6219  323.66  7.585597  2455.154284  57.541280  1179.815267  1189.568910
138  1969.7068  322.38  7.585640  2445.458616  57.541934  1170.280611  1279.502037
139  1969.7890  321.78  7.585682  2440.920660  57.542567  1161.086425  1322.786190
140  1969.8740  322.86  7.585725  2449.127128  57.543222  1151.617588  1245.393114
141  1969.9562  324.12  7.585767  2458.698666  57.543855  1142.497927  1158.049592
142  1970.0411  325.06  7.585810  2465.843296  57.544509  1133.117169  1094.956552
143  1970.1260  325.98  7.585853  2472.836289  57.545162  1123.775485  1034.917117
144  1970.2027  326.93  7.585892  2480.055577  57.545753  1115.369648   974.696374
145  1970.2877  328.13  7.585935  2489.172803  57.546408  1106.091428   901.208068
146  1970.3699  328.08  7.585977  2488.807193  57.547041  1097.156079   904.212581
147  1970.4548  327.67  7.586020  2485.711061  57.547694  1087.965665   929.038185
148  1970.5370  326.34  7.586061  2475.635269  57.548327  1079.104730  1011.884225
149  1970.6219  324.69  7.586104  2463.132256  57.548981  1069.991165  1119.580147
150  1970.7068  323.10  7.586148  2451.084270  57.549634  1060.916637  1228.511453
151  1970.7890  323.06  7.586189  2450.794299  57.550267  1052.167890  1231.317063
152  1970.8740  324.01  7.586232  2458.015153  57.550922  1043.159606  1165.548320
153  1970.9562  325.13  7.586274  2466.525293  57.551554  1034.485270  1090.328834
154  1971.0411  326.17  7.586317  2474.429068  57.552208  1025.564407  1022.728569
155  1971.1260  326.68  7.586360  2478.312161  57.552862  1016.682558   990.368938
156  1971.2027  327.17  7.586399  2482.042208  57.553452  1008.692094   959.768313
157  1971.2877  327.79  7.586442  2486.759909  57.554106   999.874137   921.737355
158  1971.3699  328.93  7.586484  2495.422169  57.554739   991.383834   853.815864
159  1971.4548  328.57  7.586527  2492.705185  57.555392   982.653026   874.983956
160  1971.5370  327.36  7.586569  2483.539136  57.556025   974.237025   948.031965
161  1971.6219  325.43  7.586612  2468.911072  57.556678   965.582949  1070.606758
162  1971.7068  323.36  7.586655  2453.220710  57.557332   956.967852  1210.352986
163  1971.7890  323.56  7.586697  2454.751530  57.557964   948.663868  1196.476935
164  1971.8740  324.80  7.586740  2464.173035  57.558618   940.115439  1112.231019
165  1971.9562  326.01  7.586781  2473.366579  57.559251   931.885753  1032.987809
166  1972.0410  326.77  7.586824  2479.146585  57.559903   923.434032   984.712415
167  1972.1257  327.63  7.586867  2485.685325  57.560555   915.031071   931.478196
168  1972.2049  327.75  7.586907  2486.608912  57.561164   907.208828   924.167765
169  1972.2896  329.72  7.586950  2501.569279  57.561816   898.880877   808.272162
170  1972.3716  330.07  7.586992  2504.238435  57.562447   890.855319   788.493572
171  1972.4563  329.09  7.587035  2496.817315  57.563099   882.603639   844.491023
172  1972.5383  328.04  7.587076  2488.864565  57.563729   874.651912   906.619791
173  1972.6230  326.32  7.587119  2475.828805  57.564381   866.476485  1013.157030
174  1972.7077  324.84  7.587162  2464.613816  57.565032   858.339793  1109.564608
175  1972.7896  325.20  7.587204  2467.358696  57.565662   850.508915  1085.710916
176  1972.8743  326.50  7.587247  2477.236078  57.566314   842.448401  1001.730584
177  1972.9563  327.55  7.587288  2485.216301  57.566945   834.681723   936.367816
178  1973.0411  328.55  7.587331  2492.817711  57.567597   826.688009   876.167561
179  1973.1260  329.56  7.587374  2500.495096  57.568250   818.723741   817.395403
180  1973.2027  330.30  7.587413  2506.122592  57.568840   811.562132   775.629614
181  1973.2877  331.50  7.587456  2515.241768  57.569493   803.662612   710.229307
182  1973.3699  332.48  7.587498  2522.691325  57.570125   796.060379   658.955457
183  1973.4548  332.07  7.587541  2519.594737  57.570778   788.246695   680.173062
184  1973.5370  330.87  7.587583  2510.503469  57.571410   780.718538   744.205368
185  1973.6219  329.31  7.587626  2498.681007  57.572063   772.981354   831.752967
186  1973.7068  327.51  7.587669  2485.037369  57.572716   765.283030   938.817426
187  1973.7890  327.18  7.587710  2482.547064  57.573348   757.866551   959.148811
188  1973.8740  328.16  7.587753  2489.997152  57.574001   750.235743   899.407760
189  1973.9562  328.64  7.587795  2493.652959  57.574633   742.893338   870.847638
190  1974.0411  329.35  7.587838  2499.054459  57.575286   735.347982   829.447356
191  1974.1260  330.71  7.587881  2509.388141  57.575939   727.841462   752.960609
192  1974.2027  331.48  7.587920  2515.243688  57.576528   721.093339   711.295712
193  1974.2877  332.65  7.587963  2524.135877  57.577182   713.651994   650.256513
194  1974.3750  333.19  7.588007  2528.248109  57.577853   706.049802   623.007975
195  1974.4583  332.20  7.588049  2520.749998  57.578493   698.834199   673.409128
196  1974.5417  331.07  7.588092  2512.189486  57.579134   691.647363   733.333317
197  1974.6250  329.15  7.588134  2497.634236  57.579774   684.506524   841.007407
198  1974.7083  327.33  7.588176  2483.837640  57.580415   677.403038   949.880272
199  1974.7917  327.28  7.588218  2483.472054  57.581056   670.328440   952.964785
200  1974.8750  328.31  7.588260  2491.301767  57.581696   663.299691   890.433222
201  1974.9583  329.58  7.588303  2500.952759  57.582336   656.308280   816.252198
202  1975.0417  330.73  7.588345  2509.693273  57.582977   649.345878   751.863404
203  1975.1250  331.46  7.588387  2515.246744  57.583617   642.429175   712.362917
