             x       y             xy            x²        SQREG        SQTOT
126  1968.7077  320.33  630636.137541  3.875810e+06  1282.656062  1430.362060
127  1968.7896  320.25  630504.869400  3.876132e+06  1273.159786  1436.419681
128  1968.8743  321.32  632638.690076  3.876466e+06  1263.375966  1356.458307
129  1968.9563  322.89  635756.299707  3.876789e+06  1253.939980  1243.276606
130  1969.0411  324.00  637969.316400  3.877123e+06  1244.218991  1166.231223
131  1969.1260  324.42  638823.856920  3.877457e+06  1234.524433  1137.721516
132  1969.2027  325.63  641231.475201  3.877759e+06  1225.798817  1057.558707
133  1969.2877  326.66  643287.520082  3.878094e+06  1216.165118   991.628143
134  1969.3699  327.38  644732.317862  3.878418e+06  1206.884913   946.800760
135  1969.4548  326.71  643440.577708  3.878752e+06  1197.337197   988.481631
136  1969.5370  325.88  641832.717560  3.879076e+06  1188.129246  1041.361143
137  1969.6219  323.66  637487.824154  3.879410e+06  1178.656156  1189.568910
138  1969.7068  322.38  634994.078184  3.879745e+06  1169.220984  1279.502037
139  1969.7890  321.78  633838.704420  3.880069e+06  1160.121996  1322.786190
140  1969.8740  322.86  635993.519640  3.880404e+06  1150.750447  1245.393114
141  1969.9562  324.12  638502.203544  3.880727e+06  1141.723756  1158.049592
142  1970.0411  325.06  640381.559966  3.881062e+06  1132.437882  1094.956552
143  1970.1260  325.98  642221.673480  3.881396e+06  1123.189924  1034.917117
144  1970.2027  326.93  644118.368711  3.881699e+06  1114.867772   974.696374
145  1970.2877  328.13  646510.503001  3.882034e+06  1105.681199   901.208068
146  1970.3699  328.08  646438.956792  3.882358e+06  1096.833391   904.212581
147  1970.4548  327.67  645658.924316  3.882692e+06  1087.732275   929.038185
148  1970.5370  326.34  643065.044580  3.883016e+06  1078.956720  1011.884225
149  1970.6219  324.69  639841.224711  3.883351e+06  1069.930231  1119.580147
150  1970.7068  323.10  636735.367080  3.883685e+06  1060.941657  1228.511453
151  1970.7890  323.06  636683.094340  3.884009e+06  1052.275067  1231.317063
152  1970.8740  324.01  638582.884740  3.884344e+06  1043.350643  1165.548320
153  1970.9562  325.13  640816.989306  3.884668e+06  1034.756350  1090.328834
154  1971.0411  326.17  642894.475587  3.885003e+06  1025.917075  1022.728569
155  1971.1260  326.68  643927.441680  3.885338e+06  1017.115716   990.368938
156  1971.2027  327.17  644918.387359  3.885640e+06  1009.197030   959.768313
157  1971.2877  327.79  646168.395183  3.885975e+06  1000.457583   921.737355
158  1971.3699  328.93  648442.701207  3.886299e+06   992.042171   853.815864
159  1971.4548  328.57  647760.903636  3.886634e+06   983.387655   874.983956
160  1971.5370  327.36  645402.352320  3.886958e+06   975.044497   948.031965
161  1971.6219  325.43  641624.914917  3.887293e+06   966.464607  1070.606758
162  1971.7068  323.36  637571.110848  3.887628e+06   957.922634  1210.352986
163  1971.7890  323.56  637992.048840  3.887952e+06   949.688440  1196.476935
164  1971.8740  324.80  640464.675200  3.888287e+06   941.211142  1112.231019
165  1971.9562  326.01  642877.440762  3.888611e+06   933.049245  1032.987809
166  1972.0410  326.77  644403.837570  3.888946e+06   924.666433   984.712415
