             x       y        SQREG        SQTOT
463  1996.7917  359.72    30.494687     2.464499
464  1996.8750  361.04    32.155551     8.351362
465  1996.9583  362.39    33.862585    17.976517
466  1997.0417  363.24    35.618085    25.906800
467  1997.1250  364.21    37.418005    36.722052
468  1997.2083  364.65    39.264586    42.248340
469  1997.2917  366.48    41.160293    69.386772
470  1997.3750  366.77    43.100744    74.302198
471  1997.4583  365.73    45.088349    57.454464
472  1997.5417  364.46    47.125743    39.814488
473  1997.6250  362.40    49.208205    18.061414
474  1997.7083  360.44    51.338316     5.243515
475  1997.7917  360.98    53.518882     8.008177
476  1997.8750  362.65    55.744842    20.248851
477  1997.9583  364.51    58.018946    40.447975
478  1998.0417  365.39    60.344177    52.415751
479  1998.1250  366.10    62.715125    63.200469
480  1998.2083  367.36    65.134715    84.821748
481  1998.2917  368.79    67.606106   113.206882
482  1998.3750  369.56    70.123539   130.185186
483  1998.4583  369.13    72.690114   120.557595
484  1998.5417  367.98    75.309169    96.626389
485  1998.6250  366.10    77.974589    63.200469
486  1998.7083  364.16    80.689653    36.118565
487  1998.7917  364.54    83.457878    40.830468
488  1998.8750  365.67    86.272793    56.548479
489  1998.9583  367.30    89.137855    83.720163
490  1999.0417  368.35    92.056763   104.037395
491  1999.1250  369.28    95.022686   123.874057
492  1999.2083  369.84    98.039262   136.653114
493  1999.2917  371.15   101.110372   168.996679
494  1999.3750  371.12   104.228821   168.217587
495  1999.4583  370.46   107.398430   151.532956
496  1999.5417  369.61   110.623266   131.328673
497  1999.6250  367.06   113.895765    79.385824
498  1999.7083  364.95   117.219933    46.238263
499  1999.7917  365.52   120.600024    54.315018
500  1999.8750  366.88   124.028103    76.210670
501  1999.9583  368.26   127.508361   102.209518
502  2000.0417  369.45   131.045242   127.687114
503  2000.1250  369.71   134.630436   133.630647
504  2000.2083  370.75   138.268321   158.756782
505  2000.2917  371.98   141.963532   191.265367
506  2000.3750  371.75   145.707380   184.956526
507  2000.4583  371.87   149.504434   188.234896
508  2000.5417  370.02   153.359522   140.893868
509  2000.6250  368.27   157.263570   102.411815
510  2000.7083  367.15   161.221341    80.997701
511  2000.7917  367.18   165.237856    81.538594
512  2000.8750  368.53   169.303655   107.741749
513  2000.9583  369.83   173.423696   136.419417
514  2001.0417  370.76   177.603194   159.008879
515  2001.1250  371.69   181.832302   183.328142
516  2001.2083  372.63   186.116170   209.666701
517  2001.2917  373.55   190.460215   237.156066
