             x       y      Ln y          xLny            x²         SQREG         SQTOT
95   1966.1260  321.60  5.773309  11351.052021  3.865651e+06  1.232420e-02  1.080977e-02
96   1966.2027  322.39  5.775762  11356.318825  3.865953e+06  1.224767e-02  1.030562e-02
97   1966.2877  323.70  5.779817  11364.783392  3.866287e+06  1.216314e-02  9.498727e-03
98   1966.3699  324.08  5.780990  11367.565513  3.866611e+06  1.208167e-02  9.271413e-03
99   1966.4548  323.75  5.779972  11366.052922  3.866944e+06  1.199781e-02  9.468645e-03
100  1966.5370  322.38  5.775731  11358.188662  3.867268e+06  1.191690e-02  1.031192e-02
101  1966.6219  320.36  5.769445  11346.317603  3.867602e+06  1.183362e-02  1.162800e-02
102  1966.7068  318.64  5.764062  11336.219811  3.867936e+06  1.175063e-02  1.281801e-02
103  1966.7890  318.10  5.762366  11333.357667  3.868259e+06  1.167055e-02  1.320495e-02
104  1966.8740  319.78  5.767633  11344.207899  3.868593e+06  1.158804e-02  1.202210e-02
105  1966.9562  321.03  5.771535  11352.355719  3.868917e+06  1.150852e-02  1.118179e-02
106  1967.0411  322.33  5.775576  11360.795104  3.869251e+06  1.142668e-02  1.034344e-02
107  1967.1260  322.50  5.776103  11362.322658  3.869585e+06  1.134513e-02  1.023647e-02
108  1967.2027  323.04  5.777776  11366.056851  3.869886e+06  1.127171e-02  9.900732e-03
109  1967.2877  324.42  5.782039  11374.934152  3.870221e+06  1.119063e-02  9.070582e-03
110  1967.3699  325.00  5.783825  11378.923571  3.870544e+06  1.111249e-02  8.733537e-03
111  1967.4548  324.09  5.781021  11373.898017  3.870878e+06  1.103207e-02  9.265472e-03
112  1967.5370  322.54  5.776227  11364.940657  3.871202e+06  1.095449e-02  1.021139e-02
113  1967.6219  320.92  5.771192  11355.523514  3.871536e+06  1.087464e-02  1.125439e-02
114  1967.7068  319.25  5.765974  11345.747222  3.871870e+06  1.079509e-02  1.238860e-02
115  1967.7890  319.39  5.766413  11347.083926  3.872194e+06  1.071835e-02  1.229119e-02
116  1967.8740  320.73  5.770600  11355.813011  3.872528e+06  1.063928e-02  1.138039e-02
117  1967.9562  321.96  5.774427  11363.820034  3.872852e+06  1.056309e-02  1.057838e-02
118  1968.0410  322.57  5.776320  11368.034918  3.873185e+06  1.048478e-02  1.019260e-02
119  1968.1257  323.15  5.778117  11372.059801  3.873519e+06  1.040686e-02  9.833095e-03
120  1968.2049  323.89  5.780404  11377.019382  3.873831e+06  1.033426e-02  9.384693e-03
121  1968.2896  325.02  5.783887  11384.364076  3.874164e+06  1.025689e-02  8.722039e-03
122  1968.3716  325.57  5.785577  11388.166425  3.874487e+06  1.018227e-02  8.409089e-03
123  1968.4563  325.36  5.784932  11387.386355  3.874820e+06  1.010548e-02  8.527842e-03
124  1968.5383  324.14  5.781176  11380.465433  3.875143e+06  1.003141e-02  9.235797e-03
125  1968.6230  322.11  5.774893  11368.587383  3.875477e+06  9.955195e-03  1.048279e-02
126  1968.7077  320.33  5.769352  11358.167144  3.875810e+06  9.879266e-03  1.164821e-02
127  1968.7896  320.25  5.769102  11358.147902  3.876132e+06  9.806124e-03  1.170218e-02
128  1968.8743  321.32  5.772438  11365.203864  3.876466e+06  9.730767e-03  1.099165e-02
129  1968.9563  322.89  5.777312  11375.274284  3.876789e+06  9.658090e-03  9.993375e-03
130  1969.0411  324.00  5.780744  11382.521571  3.877123e+06  9.583217e-03  9.319018e-03
131  1969.1260  324.42  5.782039  11385.563274  3.877457e+06  9.508547e-03  9.070582e-03
132  1969.2027  325.63  5.785762  11393.337694  3.877759e+06  9.441341e-03  8.375326e-03
133  1969.2877  326.66  5.788920  11400.048705  3.878094e+06  9.367140e-03  7.807260e-03
134  1969.3699  327.38  5.791122  11404.860518  3.878418e+06  9.295662e-03  7.423029e-03
135  1969.4548  326.71  5.789073  11401.317464  3.878752e+06  9.222124e-03  7.780236e-03
136  1969.5370  325.88  5.786529  11396.783391  3.879076e+06  9.151203e-03  8.235446e-03
137  1969.6219  323.66  5.779694  11383.811055  3.879410e+06  9.078239e-03  9.522831e-03
138  1969.7068  322.38  5.775731  11376.496574  3.879745e+06  9.005567e-03  1.031192e-02
139  1969.7890  321.78  5.773868  11373.301836  3.880069e+06  8.935485e-03  1.069373e-02
140  1969.8740  322.86  5.777219  11380.393092  3.880404e+06  8.863304e-03  1.001196e-02
141  1969.9562  324.12  5.781114  11388.541008  3.880727e+06  8.793778e-03  9.247661e-03
142  1970.0411  325.06  5.784010  11394.736991  3.881062e+06  8.722257e-03  8.699068e-03
143  1970.1260  325.98  5.786836  11400.796120  3.881396e+06  8.651027e-03  8.179854e-03
144  1970.2027  326.93  5.789746  11406.973361  3.881699e+06  8.586928e-03  7.661938e-03
145  1970.2877  328.13  5.793410  11414.684211  3.882034e+06  8.516172e-03  7.033959e-03
146  1970.3699  328.08  5.793257  11414.860164  3.882358e+06  8.448024e-03  7.059544e-03
147  1970.4548  327.67  5.792007  11412.888003  3.882692e+06  8.377926e-03  7.271241e-03
148  1970.5370  326.34  5.787940  11405.349496  3.883016e+06  8.310334e-03  7.981420e-03
149  1970.6219  324.69  5.782871  11395.852003  3.883351e+06  8.240811e-03  8.912813e-03
150  1970.7068  323.10  5.777962  11386.668753  3.883685e+06  8.171579e-03  9.863807e-03
151  1970.7890  323.06  5.777838  11386.899701  3.884009e+06  8.104827e-03  9.888415e-03
152  1970.8740  324.01  5.780774  11393.177924  3.884344e+06  8.036090e-03  9.313060e-03
153  1970.9562  325.13  5.784225  11400.454328  3.884668e+06  7.969895e-03  8.658949e-03
154  1971.0411  326.17  5.787419  11407.240156  3.885003e+06  7.901813e-03  8.074794e-03
155  1971.1260  326.68  5.788981  11410.811157  3.885338e+06  7.834023e-03  7.796444e-03
156  1971.2027  327.17  5.790480  11414.209640  3.885640e+06  7.773032e-03  7.534008e-03
157  1971.2877  327.79  5.792373  11418.433963  3.885975e+06  7.705719e-03  7.208930e-03
158  1971.3699  328.93  5.795845  11425.754303  3.886299e+06  7.640902e-03  6.631433e-03
159  1971.4548  328.57  5.794750  11424.087515  3.886634e+06  7.574243e-03  6.810981e-03
160  1971.5370  327.36  5.791060  11417.290011  3.886958e+06  7.509982e-03  7.433559e-03
161  1971.6219  325.43  5.785147  11406.123279  3.887293e+06  7.443898e-03  8.488156e-03
162  1971.7068  323.36  5.778766  11394.032718  3.887628e+06  7.378106e-03  9.704677e-03
163  1971.7890  323.56  5.779385  11395.726918  3.887952e+06  7.314685e-03  9.583237e-03
164  1971.8740  324.80  5.783210  11403.760663  3.888287e+06  7.249391e-03  8.848971e-03
165  1971.9562  326.01  5.786928  11411.568658  3.888611e+06  7.186527e-03  8.163216e-03
166  1972.0410  326.77  5.789257  11416.651295  3.888946e+06  7.121961e-03  7.747875e-03
167  1972.1257  327.63  5.791885  11422.325108  3.889280e+06  7.057762e-03  7.292076e-03
168  1972.2049  327.75  5.792251  11423.506046  3.889592e+06  6.997994e-03  7.229668e-03
169  1972.2896  329.72  5.798244  11435.815964  3.889926e+06  6.934358e-03  6.246494e-03
170  1972.3716  330.07  5.799305  11438.383995  3.890250e+06  6.873027e-03  6.079917e-03
171  1972.4563  329.09  5.796331  11433.010130  3.890584e+06  6.809962e-03  6.552466e-03
172  1972.5383  328.04  5.793136  11427.181754  3.890907e+06  6.749185e-03  7.080048e-03
173  1972.6230  326.32  5.787878  11417.302240  3.891242e+06  6.686692e-03  7.992374e-03
174  1972.7077  324.84  5.783333  11408.825054  3.891576e+06  6.624490e-03  8.825817e-03
175  1972.7896  325.20  5.784440  11411.483819  3.891899e+06  6.564621e-03  8.618931e-03
176  1972.8743  326.50  5.788430  11419.844683  3.892233e+06  6.502991e-03  7.894078e-03
